№,1,2,3,4,5,6,7,7-2,7-v,8,9,9-2,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,27dp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,,,,,"221
https://youtu.be/IEEq3KGVv0c",,,,,"273741440
https://youtu.be/SJPaGG43OHk",,,,,"43
https://youtu.be/HCfsG960Mm0",,"74
https://youtu.be/pLKBznsWTy0","27
https://youtu.be/AnW2Z6q6aYk",,"689 53804
https://youtu.be/UpV7ql6szgs",,,,,,212,80,"223173721 14939
226833721 15061
233753521 15289
262083721 16189
289374121 17011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,,,,,"309
https://youtu.be/RPp1vWPLtvk",,,,,"169466
https://youtu.be/7ALpW_qf2k4",,,,,"21
https://youtu.be/cQk9CVPdBIc",,"1891
https://youtu.be/0eaBnpbe5lk","45
https://youtu.be/pjsNGeft4TA",,"19703 3103
https://youtu.be/m4uI8kWkuTc",,,,,,69,78,"312688489 17683
346592689 18617
457232689 21383
500282689 22367
509269489 22567",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,,,,,"703
https://youtu.be/QJPMTpgXXj4",,,,,"5229
https://youtu.be/B_r7kOK3PJo?t=4801
https://youtu.be/NJeAMIP3OoE",,,,,117,,"796
https://youtu.be/uBBXT4vC-fU","1556
https://youtu.be/bOjxxvD91vQ",,"136 574
https://youtu.be/AqsNcI1I8F8",,,,,,792,71,"514881481 22691
530887681 23041
814588681 28541
878588881 29641
970883281 31159",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,,,,,"18
https://youtu.be/-iVkiSEtNUA",,,,,"931
https://youtu.be/bDqRCxdYzXI",,,,,"20
https://youtu.be/bb9d5aZodl4",,"666
https://youtu.be/kVkg9fnbN9s","53
https://youtu.be/ZaBupb4SCZM",,"124 4103
https://youtu.be/wjg7szKx_bU",,,,,,21133,73,"207561649 14407
447618649 21157
461949049 21493
806162449 28393
983261449 31357",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,,,,,"120
https://youtu.be/XQo9Sus3hZg",,,,,"1440
https://youtu.be/K1MMkz01xjQ",,,,,"17
https://youtu.be/jvSdT5y6Wb0",,"19
https://youtu.be/uCaErIuDPgc","21
https://youtu.be/eXEL071itlI",,"4 145300
https://youtu.be/2akYr_fweDY",,,,,,,71,"5236114321 72361
6234839521 78961",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,,,,,"69
https://youtu.be/puW884urpsw",,,,,"2040
https://youtu.be/mJmL-v_WQFw",,,,,"186
https://youtu.be/oCS6CD5LNmE",,"1625
https://youtu.be/ckhYTzOzinA","37
https://youtu.be/e_HxUA5ZRK4",,"214 18188
https://youtu.be/Q6RimWUYrbU",,,,,,,144895,"256255901 28131008
256257767 4201008
256262087 181008
256264817 23341008
256281344 192211008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,,,,,"244296
https://youtu.be/yb8OvF8ynZ8",,,,,"9360
https://youtu.be/pX_8aILuVbk",,,,,"104
https://youtu.be/wFuybOdVWdY",,"8767
https://youtu.be/WDAHLIO4cmU","5
https://youtu.be/TbTnNmOgwU8",,"10 438939648
https://youtu.be/xTOIHNJxsDk",,,,,,,873241,"256522402 128261203
256513274 128371203
256528538 164911203
256530290 179571203
256521604 192391203",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,,,,,"197535
https://youtu.be/heci2RqbvUQ",,,,,"35280
https://youtu.be/aLchfUeZLbI",,,,,"9
https://youtu.be/PGqFb6OSU8A",,"95306
https://youtu.be/RQ223RdeJT0","27
https://youtu.be/ddTu9D2WlF0",,"4 537477120
https://youtu.be/35E3Gcec-y8",,,,,,,99831,"256228312 192171234
256148312 192111234
256153623 108671234
256232121 96551234
256182933 85531234
256202495 66311234
256186145 60071234
256164673 41234",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,,,,,7262,,,,,"5055
https://youtu.be/s2k3-KNuQJc",,,,,"33
https://youtu.be/EPA0VJVX7yg",,"77888
https://youtu.be/QPMFC7YeXxI","25
https://youtu.be/qhhY9WxtbUA",,"14 559872000
https://youtu.be/CZFAVeFzaRg",,,,,,,13381,"545163597 29343
5411932647 291293
5421036357 291783
5451134337 293403
5461538577 293963
5481232317 295023
5491636557 295583",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,,,,,830,,,,,"140544
https://youtu.be/BzhdKcLh50A",,,,,"20
https://youtu.be/tvsApqB1RxY",,"135122
https://youtu.be/KP3EWJunG-E","108
https://youtu.be/Um_lkaZrIos",,"3 839808000
https://youtu.be/gTVWxEd9w-o",,,,,,,99937,"2025 81
24502500 980100
25502500 1020100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,,,,,"210
https://youtu.be/q6GOPiW6umU",,,,,"309268
https://youtu.be/8L28Jgg1ijc",,,,,"4
https://youtu.be/YQdIvk2L668",,"207291
https://youtu.be/ecFYII0G1og","-11
https://youtu.be/KWnIxXqfOo4",,"7 25165824
https://youtu.be/Y4ecJWj7TzI",,,,,,,655664,"2025630049 45007
12025973569 109663
18202596889 134917
20256974929 142327",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,,,,,"24
https://youtu.be/IHuzygri--c",,,,,"45360
https://youtu.be/df0g5Y5_S8g",,,,,"9
https://youtu.be/SCJkKNz1TJc",,"323104
https://youtu.be/A-PJEA3D6WY","-11
https://youtu.be/Krd-jiwMbag",,"37 113246208
https://youtu.be/pefOlb4KANk",,,,,,,770526,"32500280 2755
32500301 58290
32500440 1450
32500623 17545
32500665 722245
32500700 7975
32500834 4785",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,,,,,"20
https://youtu.be/a1Qk-X1rUAc",,,,,"ГСУТАВ
https://youtu.be/q5oIm25jIvQ",,,,,"1
https://youtu.be/gckfQhNKjWM",,"305330
https://youtu.be/Y7qfICHrfT0","26
https://youtu.be/QiiC7sJG3D8",,"161 19678
https://youtu.be/5AzRyZlAIWw",,,,,,,13273,"23600182 694125
23600442 28713
23600478 357585
23600570 1449
23600838 135639
23600970 29139",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,,,,,"211
https://youtu.be/IiuJYqJ7hRc",,,,,"НГМРЕА
https://youtu.be/3SucSPq2WhM",,,,,"56
https://youtu.be/tFbZrqPNI4Y?si=4NOA622KOP7-6PBO&t=6128
https://youtu.be/24XbHAKF3h8",,"8389
https://youtu.be/hkmbKH1W6xo","17
https://youtu.be/KkdxiPAlnhM",,"2120 14972
https://youtu.be/KRtC6soewec",,,,,,,1690,"9500776 1626
9504690 4878
9506575 9756
9506999 110568
9503921 678855",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,,,,,"169
https://youtu.be/_uVa3tWKoMQ",,,,,"РСЛНУА
https://youtu.be/dXFw94c2O-g",,,,,"67
https://youtu.be/tSc4w-_vyj8",,"7806
https://youtu.be/MukfzA-SaAc","16
https://youtu.be/wPnARzE_fAI",,"714 98385445
https://youtu.be/g6m4T7tBjRY",,,,,,,605381,"55001704 1777
55001262 2777
55000662 9166777
55001554 27500777",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,,,,,"39
https://youtu.be/zuKOIXuWCMY",,,,,"ОДСТЕМ
https://youtu.be/fJ3iW53P7A8",,,,,"99
https://youtu.be/Dz01TEQ_JWg",,"1464
https://youtu.be/9vdszotaH1U","6
https://youtu.be/9FmV3FChTmo",,"226 99965933
https://youtu.be/iceRAo5Gw08",,,,,,,770526,"40522053 21
205220713 22
2052293 23
505422233 26
805022663 32
305946223 34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,,,,,"22
https://youtu.be/4cFKTDMAIw4",,,,,"ЕМСАИГР
https://youtu.be/PY2PZN_j8U8",,,,,"89
https://youtu.be/YkcvbOTqMwU",,"6101
https://youtu.be/j6b8vqU9wuk","4
https://youtu.be/DpETssihLl8",,"402 99550625
https://youtu.be/Z9cONgsHSA4",,,,,,,2598,"413045799 42
613179609 42
41357979 45
913417929 45
413797899 57
713885799 57
913793979 57",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,,,,,"17
https://youtu.be/zdzc1upajqU",,,,,"НАРДКОТ
https://youtu.be/XM4MH9V1UWo",,,,,"64
https://youtu.be/t799-Hmr8Jw",,"686
https://youtu.be/aT1MtYX35ck","26
https://youtu.be/xerSPEvOuRA",,"405 99405385
https://youtu.be/9U3-3seE8Oc",,,,,,,497,"154327101 24
95433231 30
454143291 33
554632431 33
954623241 36
554868321 42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,,,,,"512
https://youtu.be/j_PHLYxVja0",,,,,"РЫБОЯДН
https://youtu.be/U3zgE-vZCIU",,,,,"75
https://youtu.be/9VS2H8-D1ZY",,"25871
https://youtu.be/HPIK90IXuyI","9
https://youtu.be/iwXdhmqEreM",,"157 13138
https://youtu.be/0jmCJHwOWrA",,,,,,,326,"1125003 467
1125006 97
1125009 17
1125011 3187
1125012 177",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,,,,,"39
https://youtu.be/ZTc4jYBnFO4",,,,,"РАДЕЛНО
https://youtu.be/AzRJGL7aRlY",,,,,"93
https://youtu.be/d85cimbzw2E",,"552647
https://youtu.be/hl-2P5bM45o","20
https://youtu.be/kyRuEdCjx_I",,"67 79
https://youtu.be/mMU6pTUwJV0",,,,,,,2886,"700004 350004
700009 41194
700023 233344
700024 350014
700044 350024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,,,,,"444
https://youtu.be/AE5FdAd_CK0",,,,,"2999
https://youtu.be/MFN3jnJk4HQ",,,,,"114
https://youtu.be/vkkXG2kctgc",,"1535
https://youtu.be/mGHQ5CR2m_M","36
https://youtu.be/0oyqsCcwWJs",,"2458 121
https://youtu.be/klLHkNYGrag",,,,,,,1212,"500032 1070356
500035 606816
500039 501456
500050 949716
500052 1333696",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,,,,,"39
https://youtu.be/rgJss4flzQo",,,,,"1293
https://youtu.be/dQaBKzglNhA",,,,,"108
https://youtu.be/sqQLhn6C1o4",,"9
https://youtu.be/kePWpx43sKE","33
https://youtu.be/9zVppw8vsRI",,"1935 11936
https://youtu.be/wK7c7W41bDE",,,,,,,,"44736821 5597
4064736241 508537
4303247361 538377
4347368721 543897
4447361151 556407
4473658121 559697
4794736931 599867",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,,,,,"47
https://youtu.be/VLVJuKxA2Ig",,,,,"360448
https://youtu.be/8RAEyJkOUDk",,,,,"88
https://youtu.be/ZIBT3YV8DFs",,"4
https://youtu.be/DBR9jv7pim0","10
https://youtu.be/fv53hR5mnKA",,"3118 120557282
https://youtu.be/_fLspSj6xE8",,,,,,,,"1324795 264959
1324801 1151
1324903 2543
1325015 265003
1325029 5279",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,,,,,"9
https://youtu.be/BbRUBSyQCYs",,,,,"474163200
https://youtu.be/urHNW2Ga_2g",,,,,"58
https://youtu.be/f_9a1Ftw_xA",,"10140
https://youtu.be/6y_5B4Q3pX8","35
https://youtu.be/LEmcTF1Vep0",,"56 18612
https://youtu.be/vM0A9GtWdHg",,,,,,,,"5400042 900009
5400420 90009
5400866 158851
5406116 1351531
5406420 90109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,,,,,"694
https://youtu.be/C4vAu1dpEr8?si=6SWBuSLcyOyM8AMc&t=2692
https://youtu.be/pWwwnxEqw6U",,,,,"65
https://youtu.be/RTOrcIr7Gtg",,,,,"97
https://youtu.be/bq2bNN5lpDM",,"86130
https://youtu.be/xHZKqFoLHwk","10
https://youtu.be/PtNaxLQSets",,"11 9881
https://youtu.be/q0SnA0dfUNk",,,,,,,,"6651241 2579
6651262 3325631
6651286 3325643
6651314 3325657
6651347 289189",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,,,,,"10
https://youtu.be/5B02ZQBH1-4?si=QnBjnQyZ-1ZxFeaw&t=2504
https://youtu.be/OmyjIXOlv4w",,,,,"15387
https://youtu.be/XYjDddbeo2Y",,,,,"83
https://youtu.be/3rwZAavqpi8",,"63917315
https://youtu.be/xAo2IAx5uHw","62
https://youtu.be/9fyuDpe8y-k",,"1971 1931
https://youtu.be/edP12LR18KQ",,,,,,,,"2706534 3
2722734 7
2730834 3
2755134 3
2779434 3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,,,,,"6
https://youtu.be/vrb5rgDGBlM",,,,,"58979
https://youtu.be/RvGCZ6rYyQ8",,,,,"20
https://youtu.be/wC0Iatjyx6E",,"61978870
https://youtu.be/P3KeeqUZHrU","53
https://youtu.be/xkNfK2QwM3w",,"26 188357305
https://youtu.be/B_r7kOK3PJo?t=9032
https://youtu.be/wW4kRZjmJNo",,,,,,,,"5001312 2
5001912 3
5002912 2
5004512 2
5006112 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,,,,,"34
https://youtu.be/MlI4JaSDx7Y",,,,,"100810
https://youtu.be/Y9oF6iyOtlM
https://youtube.com/shorts/UPO7xZroM00",,,,,"16
https://youtu.be/wb9jhGRi2vg",,"1827
https://youtu.be/_5VHyLq34Wk","23
https://youtu.be/356KAsxPg4Q",,"5 26
https://youtu.be/wzRlHOxmxw4",,,,,,,,"8000110 800011
8000310 266677
8000410 283
8000510 3089
8000610 266687",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,,,,,"136
https://youtu.be/ZJMyiWEzXGM",,,,,"17438
https://youtu.be/De2VxdTbDHM",,,,,"12
https://youtu.be/OmlK7g3aP5w",,"4292
https://youtu.be/6tlJFFv8OUo","29
https://youtu.be/QaSyEAv2Ruk",,"153 182503568
https://youtu.be/Iw2TNR-Xooo",,,,,,,,"4019679 53
4173281 23
4330747 163
4492125 11
4574296 83
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,,,,,"34
https://youtu.be/9tJfa_f5qjY",,,,,"31031
https://youtu.be/99pFQlijNuo",,,,,"29
https://youtu.be/w2CHsqPFCJc",,"8498
https://youtu.be/wFbqMjdAoHA","19
https://youtu.be/Y6DewVmkSCk",,"30 4138
https://youtu.be/ZKs6CQ43G4A",,,,,,,,"5207472 43
5208300 643
5209200 1447
5211248 23
5214384 739
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,,,,,"971
https://youtu.be/da16H4BwWcc",,,,,"840
https://youtu.be/jJrb-4cVQME
https://youtube.com/shorts/RHbBP0z1xLo",,,,,"20
https://youtu.be/KYqeUrHYWJk",,"1785
https://youtu.be/R6jpqyVPXoU","31
https://youtu.be/c9wJxPLqe88",,"10 43133184
https://youtu.be/DcG8KPcG7_8",,,,,,,,"703921 839
704969 89
707281 29
727609 853
734449 857",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,,,,,"131
https://youtu.be/BoNeRaH-r-g",,,,,"333
https://youtu.be/D6ggGPqqacQ",,,,,"32
https://youtu.be/Y1Mj-fF82VY",,"2469
https://youtu.be/mAzRQw6PWf8
https://youtu.be/5aNdCnp90Go","30
https://youtu.be/bs7gODjTleg",,"11 440185850
https://youtu.be/xiOlzfxRjBE",,,,,,,,"800002 400001
800006 400003
800009 114287
800017 25807
800022 400011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,,,,,"19
https://youtu.be/T9OLdKRrT9w",,,,,"28239
https://youtu.be/3zHmN5C2214",,,,,"266
https://youtu.be/_QWTpOiR0vQ",,"3744
https://youtu.be/mAzRQw6PWf8
https://youtu.be/NA2sCKGfz2c","27
https://youtu.be/2zmzIPMc3Dk",,"3 166231602
https://youtu.be/DFnYZr0-OMY",,,,,,,,"6702696 3351348
6703884 3351942
6706602 3353301
6707316 3353658
6708174 3354087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,,,,,24,,,,,"86400
https://youtu.be/nRGTWREXjUo",,,,,"257
https://youtu.be/fqWNrafqGQk",,"30972367
https://youtu.be/fWirwU9z-4w","15
https://youtu.be/RIy79S9kxCY",,"12 19025168
https://youtu.be/uPSgiYJV1Ck",,,,,,,,"24517728 1051
24518400 1277
24519680 4789
24521472 367
24521616 53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,,,,,"109
https://youtu.be/qf1BKsiPDQE",,,,,"21600
https://youtu.be/ofr2bDZmftw",,,,,"17
https://youtu.be/TeOxARRzoDk",,"44354819
https://youtu.be/6cYK2QMi7RI","22
https://youtu.be/HSZGOHo2ViI",,"159 1261
https://youtu.be/hmFlbFQH0AU",,,,,,,,"13476875 21563
13480625 21569
13485625 21577
13491875 21587
13493125 21589",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,,,,,"78
https://youtu.be/H9DUvaMyKPI",,,,,"1507328
https://youtu.be/A-YzfV_78bs",,,,,"333
https://youtu.be/McCrHMyL7QU",,"20957711
https://youtu.be/NBcnmAWKabw","42
https://youtu.be/PrI7-LFzlvM",,"111 138
https://youtu.be/xmbo6rqvyCs",,,,,,,,"13626407 1124928
17652163 2176902
22790507 519126
25180471 518048
27980987 1383360",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,,,,,"126
https://youtu.be/LRmX6NXy-_8",,,,,"983040
https://youtu.be/-oCtHq23CiA",,,,,"3337
https://youtu.be/kOuFsvOG4Ss",,"10591432
https://youtu.be/dTBiEQBI9zg","90
https://youtu.be/-VQDal3E3Ik",,"2 9487
https://youtu.be/TQhotPArB6A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,,,,,109,,,,,"72
https://youtu.be/GPd-G-HTJNI",,,,,"888
https://youtu.be/WuEK21W_mz0 ",,"6254279
https://youtu.be/0J8Qv_KLrN4","6
https://youtu.be/wkKwMqt77GU",,"5104 19930
https://youtu.be/kIxuX6ttzMs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378,,,,,875,,,,,"2520
https://youtu.be/X7iyP13IhPc",,,,,"2299
https://youtu.be/k-f4NUISn5o",,"3092260
https://youtu.be/z5g0D4gTySA","1
https://youtu.be/tMUW2nEmUYs",,"101 9020
https://youtu.be/5nLdAVeCYGI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,,,,,228,,,,,"2304
https://youtu.be/AdQTxTFJhsU",,,,,"3
https://youtu.be/874w7uledFk",,"39313
https://youtu.be/VI0z0lrNamA","90
https://youtu.be/YKWRsfQ4nmM",,"299 196183
https://youtu.be/YNhCg-EKqqQ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,,,,,63656740,,,,,"72
https://youtu.be/shZnOzRFiXM",,,,,237,,"12010
https://youtu.be/OhMsWiAhkfQ","84
https://youtu.be/1I4p5txpNcA",,"6315 84523
https://youtu.be/dhDtbnUImJU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,,,,,893871724,,,,,"85
https://youtu.be/oSCjgYdhhjw",,,,,60,,"27051
https://youtu.be/HFJwxU1rJG8","1008
https://youtu.be/vE5jk9Y6c5g",,"1591 9233
https://youtu.be/n49kncBcYlA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,,,,,970,,,,,"ИРМА
https://youtu.be/JJbv6oF3rYM",,,,,10000,,"755
https://youtu.be/ikewf8J-Vt0

","108
https://youtu.be/vgT4jnS7Skg",,"8 8089
https://youtu.be/7Bmv2S9clYQ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,,,,,9771349,,,,,"14406
https://youtu.be/qxUciY2LUEk",,,,,9996,,"4870
https://youtu.be/hegO6yoC4ak","130
https://youtu.be/FrmIC24LbEM",,"42 25
https://youtu.be/nv2spDNF9ZQ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,,,,,13326877,,,,,"1008
https://youtu.be/XfOhM6ea7n8",,,,,7,,"2554
https://youtu.be/E4JICJWomxo","12
https://youtu.be/neFLzkFhrWw",,"661 8781
https://youtu.be/aYHP_WRAyB8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,,,,,1048573,,,,,"174
https://youtu.be/KSVytqTokqI",,,,,210,,"55238
https://youtu.be/aPUtSXKoYyM","324
https://youtu.be/jWO_oVYwajY",,831 61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,,,,,1048831,,,,,"720
https://youtu.be/-oFunBhlzLU",,,,,416,,"97028
https://youtu.be/_yM-EY-egjw","162
https://youtu.be/cR7VzsNSlSk",,13 4327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,,,,,268697599,,,,,"500
https://youtu.be/UiS6rleDTOo",,,,,37,,"2275735
https://youtu.be/mSZcuokguHo","15
https://youtu.be/dmy-4qBwWU4",,"90 16794
https://youtu.be/C4vAu1dpEr8?si=kozVa2CARZPx-8EK&t=9076",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,,,,,132095,,,,,"144
https://youtu.be/R2XHvgCD8Kk",,,,,1428,,"12848
https://youtu.be/yt7FE5SO988","30
https://youtu.be/VQavfLRqWH8",,"186 89990 
https://youtu.be/5B02ZQBH1-4?si=ipW0hDkEHR2aOwWJ&t=8029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,,,,,136314879,,,,,"781
https://youtu.be/liPBKJjQWvU",,,,,1817,,"267A030
https://youtu.be/2B7WgSyiDyg","3
https://youtu.be/CofRzi12Xoc",,"75 247177
https://youtu.be/tFbZrqPNI4Y?si=_f_2EUYAepYaxlUn&t=8308",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,,,,,222,,,,,"150000
https://youtu.be/3xHS1FSpu98",,,,,9765625,,127433995,"10
https://youtu.be/zuW47O2Ydmc",,22 112649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,,,,,96,,,,,"11984
https://youtu.be/w__E4geiedE",,,,,50,,182772,"1
https://youtu.be/nu6zll5n0zs",,9 100207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,,,,,250,,,,,"1440
https://youtu.be/cjhwRapznKI",,,,,46,,535929,"24
https://youtu.be/IwBs8WAo9yg",,1771 2763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,,,,,721,,,,,"5360
https://youtu.be/72qqV6fpygQ",,,,,1591,,7767375,"5
https://youtu.be/3hU7yqh--0E",,161 16270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,,,,,189,,,,,"281
https://youtu.be/PrybW_R9qqE",,,,,14,,140433,"8
https://youtu.be/HX16illYGxA",,4 8450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,,,,,10,,,,,"360
https://youtu.be/OWBYoa1jZco",,,,,999,,7820,"6
https://youtu.be/fCjeRaEgo1Q",,284 19280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,,,,,4002,,,,,"907200
https://youtu.be/baw3T8Kz_os",,,,,1,,36080,"26
https://youtu.be/DGhfyEFBgv4",,4735 9211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,,,,,176,,,,,"653837184000
https://youtu.be/h5_JdbmVyS8",,,,,485,,10512,"12
https://youtu.be/B0kO3aQOyBI",,31 11207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,,,,,64,,,,,"133382785536000
https://youtu.be/JDrweoJhreo",,,,,319,,18990,"35
https://youtu.be/vNr9rKqNDrU",,18 37313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,,,,,16,,,,,"330
https://youtu.be/MpDIxgcE_7Q",,,,,422,,3289,"72
https://youtu.be/8xz55OMRmUg",,1795 199007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,,,,,21,,,,,"45
https://youtu.be/CbIWWrGYGLg",,,,,455,,2636,"60
https://youtu.be/YV62NHs-oWs",,1771 6020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,,,,,76,,,,,"6048
https://youtu.be/MmCoLHeDmsw",,,,,240,,17545,"14
https://youtu.be/58Nm6RCTKoo",,6473 555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,,,,,1011,,,,,"35
https://youtu.be/I4br8wEfj2w",,,,,144,,200796,"30
https://youtu.be/XU-ZsBLXRRw",,537 19247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,,,,,41,,,,,"22
https://youtu.be/HPrdtAGSI5A",,,,,400,,60350,"5
https://youtu.be/t9SkwpZMS2g",,637 183452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,,,,,31,,,,,"20625
https://youtu.be/Vr_dK_qPg04",,,,,990,,792604,"35
https://youtu.be/nVwJdW4MmFU",,201 2942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,,,,,51,,,,,"81
https://youtu.be/C9DF8vND6y4",,,,,1985,,119959,"151
https://youtu.be/M5KRpR9MBuA",,19 125644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,,,,,11,,,,,"2750
https://youtu.be/0NlG2atbrKg",,,,,15,,"297262
https://youtu.be/dWFO9Lu6XHA","1260
https://youtu.be/SKcf4T_0wDo",,48 5952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,,,,,13,,,,,"10675
https://youtu.be/HtczZ0pGCu8",,,,,1970,,"23084
https://youtu.be/GTLPJU5NUCw","70
https://youtu.be/useKxWkvR9Q",,4969 299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,,,,,9,,,,,"96
https://youtu.be/4P4kB-0IesQ",,,,,999,,"17
https://youtu.be/UZKLUx-4VMM","60
https://youtu.be/p_FtwCKILNg",,147 944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,,,,,63,,,,,"48
https://youtu.be/5dc7hywPHR0",,,,,400,,"62244
https://youtu.be/3yntroPJ878","420
https://youtu.be/AYRBb-JPRpA",,6 84385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,,,,,61,,,,,"5568
https://youtu.be/ezFqAS8B1Eg",,,,,1000,,"41676
https://youtu.be/NWqo2s3GvUc","330
https://youtu.be/3ibCwVhxEe8",,1214 176024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411,,,,,647,,,,,"10768
https://youtu.be/AWP1Hk4Rap8",,,,,250,,"790599
https://youtu.be/5Z4a-pSKotE","90
https://youtu.be/QB4UjZ_WvKk",,11 1360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,,,,,192,,,,,"25000
https://youtu.be/LcUacOkcVl0",,,,,868,,"5321454
https://youtu.be/B_r7kOK3PJo?t=7503
https://youtu.be/0ajdEP9lv9k","14
https://youtu.be/t8vGzDuo1vc",,14 1767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
